transliteration,translation
um-ma a-la-hu-um a-šur-re-ṣí en-nam-a-šùr ú da-dí-a-ma a-na e-la-ma qí-bi4-ma 24.3333 ma-na 4 GÍN KÙ.BABBAR ŠÀ 1 ma-na 1 GÍN KÙ.BABBAR ni-is-ha-tim ni-di-in ší-tí KÙ.BABBAR-pí-kà 23.3333 ma-na 4 GÍN ½ ma-na 3 GÍN KÙ.GI a-šùr-DU10 ub-lam ŠÀ 1.3333 GÍN 7.5 ŠE ni-is-ha-tim ni-dí-in ⅓ GÍN i-na sà-na-qí-ni im-ṭí ší-ti KÙ.GI ½ ma-na 1.3333 GÍN 5.25 GÍN.TA KÙ.BABBAR-áp-šu 2.6666 ma-na 5 GÍN ŠU.NÍGIN KÙ.BABBAR-áp-kà ù ší-im KÙ.GI 26 ma-na 9 GÍN KÙ.BABBAR 4 GÚ 20 ma-na 8 GÍN AN.NA ku-nu-ku 30 ma-na AN.NA-ak qá-tim 17.25 GÍN.TA KÙ.BABBAR-áp-šu 16.6666 ma-na 9 GÍN 36 TÚG ku-ta-nu 5.8333 GÍN.TA 3.5 ma-na KÙ.BABBAR-šu-nu 33 šu-ru-tum qá-de8 ša li-wi-tim 1.6666 ma-na 4 GÍN KÙ.BABBAR-áp-šu-nu 1 ma-na LÁ 5 GÍN i ma-sà-im im-ṭí 5 ANŠE.HI.A ṣa-lá-mu-ú 1 ma-na 17 GÍN it-bu-lu 1 ANŠE im-ra-aṣ-ma wa-at-ra-am ni-iš-a-ma i-lá-kà-kum 1 ma-na bé-ú-lá-at ú-zu-a ù šu-mì,"Thus Ali-ahum, Aššur-rēṣī, Ennam-Aššur, and Dadiya say to Elamma: 24 minas 24 shekels of silver, thereof we gave 61 shekels of silver as egap> cise; the rest of your silver is 23! minas and 24 shekels. 33 shekels of gold Aššur-ṭāb brought us, thereof we gave as egap> cise 1 3 shekel. It was ⅓ shekel less when we checked it, (so) the rest of the gold is 31.3333 shekels, its equivalent in silver at 1: 5 1 is 2 3 minas. Total of your silver, including the yield of the gold: 26 minas 9 shekels of silver. 4 talents 20 minas 8 shekels of tin under seals, 30 minas hand tin, at 17 1 shekels per (shekel of silver), its (price in) silver, 16 minas 49 shekels; 36 tiles at 5.8333 shekels apiece, their (price in) silver 3.5 minas; 33 dark tegap> tiles including those for wrapping, their silver 1 mina 44 shekels. The silver became 55 shekels less by washing. 5 black donkeys cost 1 mina 17 shekels; 1 donkey became ill and we bought an egap> tra one and it is coming to you. 1 mina, the working capitals of Uzua and Šumi-abiya, 4 shekels their clothing, 12 shekels as additional amount we balanced to Aššur-ṭāb, 3 shekels for gap> , 9 shekels donkey harness, 12.5 shekels egap> port tagap> , 14 shekels donkey fodder."""""
išbabtu I,~ (a grass or weed) jB
tayyartu I,"NA têrātu ""return; forgiveness"" Bab., NA ""return journey, march""; astr. ""repetition""; ""relentment"" of divine anger; ""(tokens of) forgiveness""; egap> t. (feature on gall); Bogh. (an object);"
qāqullu I,"(a nt, phps.) ""Elettaria cardamomum"" M, providing wood for divine symbol; išid q. ""root of q."", qēm q. ""flour from q.""; also (a bird)"
šupe''ilu I,"""egap> changed"" Nuzi of fields;"
ṣēlāniš I,"""sideways"" jB;"
zadimgallu I,"""master lapidary"" jB;"
ramû III,"""to slacken, become loose"" G (u) of parts of body, sinews; foundations, bandage Gtn iter., med. of parts of body D 1. ""release, let go"" binding; ""slacken"" parts of body, ""loosen"" clothing; Mari ellipt. ""loosen ropes, i.e. move on""; ""release"" lock2. ""clear away"" offerings; ""absolve"" guilt, sin, ""pardon""3. OA ""give s.th. up, relinquish""; NA ""leave, abandon"" s.o., ""leave s.th. behind"", ""quit"" a ce4. NA ""set free, release"", with second verb ""allow"" to do s.th.Dtn jB of bird ""repeatedly lets droop"" wing Dt ""become slack""; Mari qātum urtammaššunūšim ""control over them has been slackened"""
sinibtu I,"(or siniptu, zinibtu) (a membrane on lung) jB;"
hīrtu I,"""(equal ranking) wife"" Bab. [MUNUS.NITA.DAM] of humans, deities;"
alulūtu I,"(a kind of mineral) OB math., jB"
šu'ūtu I,mng. unkn. jB legap> .
niggallû I,(a type of property) jB legap> .;
en-nam-a-šùr DUMU šu-{d}EN.LÍL a-na la-qé-ep ù en-nam-a-šùr DUMU šu-be-lim iṣ-ba-at-ni-a-tí-ma um-ma en-nam-a-šùr-ma 4.5 ma-na 5.3333 GÍN KÙ.BABBAR ki-ma i-tur4-DINGIR tal-qé-a um-ma la-qé-ep ù en-nam-a-šùr-ma ke-na i-na ha-mu-uš-tim ša PUZUR4.IŠTAR DUMU šu-lá-áb-ra-at KÙ.BABBAR ni-il5-qé KÙ.BABBAR eq-lam a-šu-mì en-nam-a-šùr DUMU šu-{d}EN.LÍL e-tí-iq ù a-na bi-it-qá-tim en-nam-a-šùr DUMU šu-{d}EN.LÍL i-za-az um-ma en-nam-a-šùr-ma DUMU šu-{d}EN.LÍL-ma ṭup-pá-am ša hu-bu-li ša i-tur4-DINGIR ú kà-ku-a ma-nu-um i-da-nam um-ma la-qé-ep-ma a-na-ku a-da-na-kum um-ma la-qé-ep-ma a-na en-nam-a-šùr DUMU šu-{d}EN.LÍL-ma KÙ.BABBAR ša-bu-a-tí 2 ṭup-pé-e ha-ar-me-en ša hu-bu-lim a-šùr-DU10 a-hi-a tù-kà-al lu ku-a-um lu ša DUMU kà-ri-a ma-nu-um lu i-da-nam um-ma en-nam-a-šùr DUMU šu-{d}EN.LÍL a-na-ku a-da-na-kum IGI a-la-bi-im DUMU sú-li-a IGI ki-li-a DUMU en-na-nim a-na a-wa-tim a-ni-a-tim kà-ru-um dur4-hu-mì-it i-d,"Ennam-Aššur son of Šu-Illil seized us against Lā-qēp and Ennam-Aššur son of Šu-Bēlum, and Ennam-Aššur said: Have you taken 4.5 minas 5.3333 shekels of silver on behalf of Itūr-ilī"" Lā-qēp and Ennam-Aššur answered: ""Yes, we took the silver in the week of Puzur-Ištar son of Šu-Ilabrat. The silver goes overland (to Assur) in the name of Ennam-Aššur son of Šu-Illil, and Ennam-Aššur son of Šu-Illil answers for (possible) shortfalls."" Ennam-Aššur son of Šu-Illil said: ""And the tablet concerning the debt to Itūr-ilī and Kakkuwa, who will give me that"" Lā-qēp answered: ""I shall personally give it to you."" Lā-qēp (further) said to Ennam-Aššur son of Šu-Ilil: ""You have been paid the silver. You have in your possession 2 certified tablets concerning the debt of my brother Aššur-ṭāb. Yours as well as that of Karriya's son, who will give that to me"" Ennam-Aššur son of Šu-Illil answered: ""I shall personally give it to you."" Witnessed by Ali-abum son of Suliya, by Kiliya son of Ennānum. The Durhumit colony gave us for these proceedings and we gave a tablet with our testimony before Aššur's dagger."""
šubarīu I,"f. šub(a)rītu(m), šubur(r)ītu ""from Subartu, in the style of Subartu"" OA, O, Mari"
niṭlu I,"""look; view"" Bab., NA 1. ""look, gaze""; niṭil īnī ""the (act of) looking at"", ""blink of the eyes"" = ""moment""; MB ana niṭli ēnī ""under s.o.'s eyes""2. ""(eye)sight, vision""; n. našû ""to take away s.o.'s sight""3. ""appearance"" of wall4. OB transf. ""(point of) view, judgement""; šumma niṭilka, kīma niṭlika ""if you see fit"""
kiriktu I,"""collection, accumulation"" M of water at regulator;"
atkallušše I,(a functionary) NB
<gap> né-ma-al-šu ba-a-nim a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-uq-lá-ma ù a-na a-lim{ki} lu ni-lik lá tù-na-ha-ni lá ri-ig-ma-tum ší-bu-tum uš-kà-i-in a ṭup-pí-im ša a-lim{ki} ú ra-bi4-ṣí-im ša be-li-a um-ma en-um-a-šur-ma a-na a-ba-ba-ma a-ta IGI a-we-li a-ni-ú-tim ta-aṣ-ba-tám-ma i-na dí-tim ta-áš-a-lá-ni a-ta ra-bi-ṣú-um i-li-kam-ma um-ma a-lá-hu-um-ma a-hi ma a bu a-ša-al ni-a-tí iš-al-ni-a-tí-ma na-pá-lá-tí-ni a-na a-lim{ki} i-ta-ba-al i-nu-mì a-bu-ni i-na dur4-hu-mì-it me-tù a-na-ku lá-šu-a-ku-ma a-hi a-lá-hu-um i ri-iš a-bi-a i-zi-iz ús-ta-ki-lu-ni-ma a-bi ma-lá li-bi-šu-ma ù-lá-pí-it mì-ma a-na a-bi-a lá ha-bu-lá-ku ba-a-am URUDU ša dur4-hu-mì-it bu-lá-tí lu ni-al-qé-a-am-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma i-na bu-lá-tí ša a-bi-ni li-ma-am lu nu-ṭá-ib-ma i-na ší-ma-tí-ni ša a-bi4-ni ša a-lim{ki} iš-tí a-hi-a ù a-ha-tí-a <gap> ra-bi-ṣú-um <gap> (l,"<gap> gap> his profit. Come on! Pay in accordance with the verdict of the City, and then let us go to the City. Do not obstruct me."" This is not a formal lawsuit but a witnessed questioning. ""I submit to the tablet from the City and my lord's attorney."" Ennam-Aššur said to Ababa: ""It is you who have seized me before these men and you have questioned me in court. It is you who came as an attorney, but Ali-ahum said: 'I shall question my brother gap> ' It was us that he questioned and he took our answers away to the City. When our father died in Durhumit I personally was not present, but my brother Ali-ahum took care of my father. They appropriated things illegally and my father wrote what he wished. I do not owe anything to my father. Come on, let us take the copper in Durhumit, the assets, and let us go with you to the City in accordance with the verdict of the City and let us satisfy the eponym with the assets of our father and let me discuss the testament of our father in the City with my brother and my sister gap> the attorney gap> The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by gap> by Suen-damiq, son of Aššur-imittī."""
šunūti I,"1. ""them"" (3 m. acc.)2. ""of them"" (3 m. gen.) OA, OB after st. constr., ša, kīma3. ""those, these same"" (acc., gen.)"
eršabadarû I,(a lament) jB legap> .;
durmāhu I,"'mighty hawser' jB, cosmic reed rope;"
ašāšu IV,"""to catch"" jB G (a) esp. birds; ""encompass"" learning ; of flood ""engulf"" Gtn iter. of G"
app<gap> I,<gap> also = ana pgap>
zuguzi I,(or sukusi) (a measure of capacity) Alal.
qīpu I,"1. adj. ""believable"" in gap> Lā-qēpu(m) ""Incredible""2. ""entrusted"", esp. M, NB as subst. ""representative"", freq. of king; [LÚ.TIL.(LA.)GÍD.DA; also TI.LA.GÍD, TIL.LA.AN.GÍD.DA]"
šiāti I,"""(of) her; that, this same"" OAkk, Ass., OB ""her"" (acc.); ""of her"" (gen.); OA also dat.; ""that, this same"" message, slave girl, tablet etc., M ina šattimma šiāti ""in that same year""; OA aššiāti ""therefore"" ("
ṣallalu I,(a night bird) jB [Ù.KU.KU.MUŠEN];
budû I,"(a cake) NA, NB (or read giddê )"
ziqqurratu I,"""ziggurrat, tem tower"" [U6.NIR], jB transf. ""peak"" of mountain; also deified; MA ""(cake in shape of a) z."";"
līmu I,"""eponym (of year)"" Ass.; also ""eponymate"", ina šanê limmišu ""in his second eponymate""; OA bīt l. ""office of the eponym official"""
šengallu I,(a cooking vessel) jB legap> .;
kakkaltu I,(an irrigation device) jB
zalule I,(or salule) mng. unkn. Nuzi
šêpu I,"""to stride"" jB legap> . G"
tešēnu I,(kind of buffalo) M
kuzīru I,(cultic person) jB;
iplū I,"tant. ""egap> change equivalent"" Nuzi;"
pīdu II,"~ ""imprisonment"" jB legap> .;"
tīlišam I,"""into ruin mounds"" OB;"
qadu I,"""together with, including"" O, O, M(lit.) 1. as prep. with subst.; OA qadi-ma tertika ""following your instructions""2. with pron. suff. OA qadi-a/šu-ma ""with me/him""; O qaduššu, qadukku ""with him"", ""with you""3. of ce, time ""as far as, up to""4. as conj. Mari ""until"", ""because"", q. lā ""before""; MA q. balṭutūni ""as long as she is alive""; NA etc. cf. adi 1"
adāru III,"(or aṭāru(m)), atāru (a tree) Bab., MA [GIŠ.ÍLDAG (cf. also ildakku)]"
uzzuqu I,"~ ""sling-stone"" jB legap> ."
gizillû I,"""torch, brand"" Bab., NA [GI.IZI.LÁ], esp. rit.;"
nikimtu I,"""heaping up"" M ""accumulation"" of property; med. also (a swelling);"
asumatānu I,(a bird) jB;
ananihu I,"(a garden herb, phps.) ""mint"" j"
hidiātu I,"tant. ""joy, rejoicings"" Bab. [HÚL.MEŠ] ēkal, šubat, bīt h. ""palace, dwelling, house of celebrations"";"
anāma I,"""as soon as"" OA"
<gap> GÍN KÙ.BABBAR a-na du-li i-na ú-lá-ma a-dí-in um-ma šu-ut-ma ku-ta-nam ú-šé-ba-lá-kum 1.3333 ma-na KÙ.BABBAR KI ha-lu-a <gap>,"<gap> I gave Duli in Ulama gap> shekels of silver. He said: I will send you one -tegap> tile."" 1.3333 mina of silver is with halua gap> """
šukānu I,"""ornament, jewellery"" OAkk, M, NA š. of kingship; of troops; for decoration of DN; as grave goods;"
šeštu I,mng. unkn. OB legap> .
qiddu I,"""vault (of sky)"" jB legap> .;"
a-ni-na a-na be-lá-nim iṣ-ba-at-ni-a-tí-ma um-ma be-lá-num-ma 5.5 ma-na KÙ.BABBAR ku-nu-ki-ni ša ki-lá-li-ni ša a-na {d}IM-ba-ni ú ib-ni-{d}IM a-na- <gap> A-ni-na ša KÙ.BABBAR KÙ.BABBAR-áp a-ni-na- <gap> IGI a-lá-hi-im DUMU ša-lim-a-šùr,"<gap> Annina seized us against Bēlānum and Bēlānum said: 5.5 minas of silver under our seals, belonging to us both, that gap> to Adad-bāni and Ibni-Adad to gap> Annina gap> Annina's silver gap> Witnessed by Ali-ahum son of Šalim-Aššur."""
šulpu I,"""stalk, straw"" Bab. ""stem"" of cereal nt; ""stubble"" esp. pī šulpi(m) of fallow fields; ""drinking straw""; (a wind instrument), ša š. ""yer of š. instrument"" OB legap> ."
pilāyānu I,mng. unkn. OB
amurru I,"""Amurru"" 1. (divine name) [dMAR.TU]2. toponym for Syria and the West3. OAkk, OB ""Amorite(s)"" (cf. amurrû) [mostly MAR.TU]; OB abi a. [AD.DA.MAR.TU] ""prince, sheikh""; Mari rabi a. (a high-ranking officer), ṭupšar a. ""Amorite scribe""4. Bab., NA ""west wind; the West"" [IM.MAR.TU; NB also IM.KUR.MAR; also astr., NA, NB IM.4]5. jB (western star = Perseus) [MUL.MAR.TU]"
ta-lá-né-en a-na 2 ší-ni-šu SIG5-tim DIRI i-tur4-DINGIR a-na en-um-a-šur i tù-a-ri-šu ú-ba-lam,"2 pairs of, of egap> tra-fine quality, Itūr-ilī is to bring to Ennam-Aššur when he returns."
KIŠIB da-da-a DUMU šu-ku-bi-im KIŠIB ì-lí-TAB.BA DUMU a-šùr-DU10 KIŠIB a-šùr-SIPA DUMU a-šur-iš-tí-kál 1 ma-na KÙ.BABBAR i-ṣé-er a-šur-SIPA DUMU a-šur-iš-tí-kál a-lá-hu-um i-šu ITU.1.KAM ša sà-ra-tim li-mu-um ša qá-tí a-šur-i-mì-tí ma-lá-hi-im ⅓ ma-na.TA i-na ša-tim i-ša-qal šu-ma i-na ma-lá u4-me-šu ⅓ ma-na KÙ.BABBAR lá iš-qú-ul ½ GÍN.TA a-na ⅓ ma-na-im ṣí-ib-tám i-na ITU.1.KAM ú-ṣa-ab KIŠIB ku-ku-a DUMU ma-nu-ki-ì-lí-a KIŠIB da-da-a DUMU bu-zi KIŠIB ì-lí-dan DUMU i-dí-a-šùr 21 GÚ ša-áp-tám ša kà-né-eš ša É.GAL-lim en-um-a-šùr DUMU šál-ma-a-šur a-na ì-lí-dan i-na ku-bur-na-at i-ša-qal-ma ṣú-ha-ru ša en-um-a-šùr ša-lim-ar-dí 21 GÚ SÍG.HI.A i-na ku-bur-na-at ú-sà-na-aq-šu-ma ANŠE.HI.A ša en-nam-a-šur SÍG.HI.A a-na tù-ku-ub-tù ú-šé-ru-ú i-na ri-iš SÍG.HI.A ša i-ša-qú-lu-šu-ni 6.6666 ma-na KÙ.BABBAR li-tí SIG5 ì-lí-dan DUMU i-dí-a-šur a-na en-um-a-šur i-ša,"Seal of Dadaya son of Šu-Kūbum, seal of Ilī-tappā'ī son of Aššur-ṭāb, seal of Aššur-rē'ī son of Aššuriš-tikal. Aššur-rē'ī son of Aššuriš-tikal owes 1 mina of silver to Ali-ahum. Month Ša-sarrātim, eponymy after that of Aššur-imittī the skipper. He will pay ⅓ mina per year. If he has not paid ⅓ mina of silver when his term is up, he will add interest at the rate ½ shekel per ⅓ mina per month. Seal of Kukuwa son of Mannum-kī-iliya, seal of Dadaya son of Buzi, seal of Ilī-dan son of Iddin-Aššur. Ennam-Aššur son of Šalim-Aššur shall give 21 talents of wool from Kanesh, from the palace, to Ilī-dan in Kuburnat, Ennam-Aššur's servant Šalim-wardī shall check the 21 talents of wool in Kuburnat, and on Ennam-Aššur's donkeys they will have brought the wool to Tukubtu. From the capital on the wool that they are going to pay him, Ilī-dan son of Iddin-Aššur shall give 6.6666 minas of good -silver to Ennam-Aššur. If Ilī-dan has not paid Ennam-Aššur's representatives from the capital on the wool, he shall add interest at the rate 1.5 shekels per month per mina. Seal of Šu-Anum son of Akuza, seal of Ennam-Aššur son of Puzur-Ištar, seal of Šamaš-bāni his brother, seal of Aššur-imittī, seal of Ali-Ahum son of Ennam-Dagān. Šamaš-bāni son of Puzu-Ištar owes 2 minas 15 shekels of good silver to Iddin-Aššur. Month Kuzallu, eponymy Ali-ahum. He will pay 1 mina 7.5 shekels of silver in 8 months and 1 mina 7.5 shekels in 4 months. If he has not paid he will pay interest in accordance with the rule of the colony. 4.6666 minas 5 shekels of silver is the debt of Iṭīb-šināti and his partners. I left the certified tablets in Kuburnat."
nagaršû I,"* N (or garāšu N ) ~ ""to run about in confusion"" jB Š ""confuse, upset"" offerings"
mudakkiu I,(a (metal) object) NA;
nurimdu I,"""pomegranate"" Am."
himû I,"1. jB (a rush pad for wound)2. Qatna (as ornament), with lapis lazuli inlay (or cf. himmum )"
hū'a I,(an owl) jB
hālilu II,"~ ""spy"" Mari;"
šiddatu I,"(a stand for a large vessel) j of wood, silver; on a ship;"
liddanānu I,(a nt) jB legap> .
humālu I,"""sympathy"" Ug.;"
šalputtu I,"""ruination"" M [HUL]; of home, city, land;"
manû I,"""counted"" Bab.; lā m. ""countless""; V"
kà-ru-um kà-ni-ìš dì-nam i-dì-in-ma ša-lim-a-šùr ù DUMU a-mur-IŠTAR ší-bi-šu-nu i-šé-e-ú-ma a-na ITU.10.KAM a-le-e i-ma-gu5-ru-ni e-ta-wu ITU.1.KAM kán-wa-ar-ta-an li-mu-um ku-bi-e-a,"The Kanesh colony has passed a verdict, stating that Šalim-Aššur and Amur-Ištar's son shall seek out their witnesses, and within 10 months they shall negotiate where they agree. Month Kanwartan, eponymy Kūbiya."
šagikku I,"j 1. ""sen"" [UZU.ŠÀ.GIG]2. (a vessel)"
pirizah I,(a nt) jB legap> .;
hāši I,(a nt) jB med.
maštaku I,"""chamber; cell"" Bab.(lit.) [AMA], of humans, deities"
ahātu I,"OA ahuātum, OB ahhātu ""sister"" [NIN] ""(natural) sister""; transf. OA as commentary term; OB of f. subst.s a. gap> a. ""the one gap> the other"";"
qudmû I,"""primordial"" M(lit.) of tem, ritual; ""first, front"" O of lyre-string;"
emmiṣu I,"~ ""in need, short of cash"" OA;"
nāšiānu I,"""that carried off"" MA;"
ditillû I,"""final judgement"" OAkk, jB legap> .;"
tiban I,"""deben"" Am.; weight of 910 grams;"
akkadû I,"f. akkadītu(m) ""from Akkade, made in Akkade, Akkadian"" [URI(.KI)] of language; furniture, boats, cloth; jB legap> . (a breed of sheep);"
emû I,"""tongue"" jB legap> . as part of ugh;"
tamhāriš I,"""to the battle"" jB;"
qerbūtu I,"""nearness"" Mari, in ūm qerbūti ""recently"";"
15 GÍN KÙ.BABBAR en-nam-a-šùr a-na ú-ṣú-ur-pì-a-šur i-dí-in šu-ma i-na a-lim{ki} ṭup-pá-am ša ku-nu-ki-šu ša ú-ṣú-ur-pì-a-šur i-na a-lim{ki} um-mì-iš-ha-ra a-ha-sú-nu gu5-ba-áb-tum ša a-na wa-ar-kà-at lá-ma-sà-tim um-mì-ša ú wa-ar-ki-tí-ša lá i-tù-ru 15 GÍN KÙ.BABBAR ú-ṣú-ur-pì-a-šùr ú-ta-ar IGI i-na-ah-DINGIR IGI ša-lim-IŠTAR IGI a-šùr- <gap> IGI ma-sà-a-a IGI a-šùr-ma-lik,"<gap> 15 shekels of silver Ennam-Aššur gave to Uṣur-pī-Aššur. If in the City a tablet with the seal of Uṣur-pī-Aššur in the City their sister Ummī-Išhara has, to the effect that he will not claim what her mother Lamassutum had inherited and what had been left behind by her, then Uṣur-pī-Aššur will give back the 15 shekels of silver. In the presence of Ēnah-ilī, of Šalim-Ištar of Aššur- gap> of Mas(s)āya, of Aššur-mālik"
ampannuhlu I,"""an ampannu-wood worker"" Nuzi;"
atāku I,"""to be(come) bent, crooked"" M G (a) of parts of body D trans. ""bend, twist"" s.th."
mêšu I,"""to disregard, scorn"" Bab. G (pret. imēš, imīš, im'eš) ""neglect"" deity, human; ""fail"" in o.'s duty Gtn iter. of G D = G N ""be neglected"""
amnakku I,(a kind of white sand) jB for manufacture of glass;
gudugu I,(a kind of door) jB legap> .
harāku I,"""to post"" troops NB G stat. only D legap> . only"
imšu I,"~ ""stiffness"" jB in i. qāti ""i. of the hand"";"
karammu I,(part of storage facility) NB
lusan I,"(a musical instrument, or part of it) O"
sakrû I,(or saqrû(m)) (a kind of terrain) OB
kissatu I,"""fodder"" Bab., NA for domestic animals, birds; NA, NB rab k. ""fodder-official""; jB k. ṣerri 'snake-fodder' (a nt);"
rēhu I,"""remaining, left over"" Bab., NA; rēhūtešunu ""the remainder of them""; as subst. ""the rest"", freq. rēhānu ""those remaining"";"
taradû I,(a tree) jB legap> . = (a kind of) šakkullu
nahṣabu I,(an object made of silver) Mari;
nikkassu I,"often ""account; property"" [NÍG.KA9] 1. ""(statement of) account""; in idioms OA n. šasā'um ""to claim settlement of account(s)""; Bab., NA n. epē, MA n. ṣabātu ""to balance accounts""; ina n. šakānu ""to submit, make s.th. available for accounting""; ina n. ""at (the time of) the accounting""; rab n. ""comptroller""; Elam bīt n. ""counting house""; NB math. ""(result of a) calculation""2. NB ""possessions, wealth""; rab n. ""administrator of property""3. Bab. (an emblem of Šamaš) [GIŠ.NÍG.KA9];"
paqādu I,"""to entrust; care for; appoint"" G (i) [Am. only NU] 1. ""entrust, hand over"" s.o., s.th. to (= ana, dat.) s.o.; ""confide, assign"" task, person, animal to s.o. to be taken care of2. ""take care of"" person, animal, house(hold), country etc.; OB ""allocate"" ration etc. ""to"" s.o. (= acc.)3. ""check"" egap> tispicy, ""review"" troops, booty, horses4. j, NA ""appoint"" person to office; ""charge, commission"" s.o. with taskGt ""behave cautiously""; M stat. ""is concerned"" about (= ana) s.th., s.o. D ~ G 1. ""entrust, hand over"" obj.2. ""check, oversee""3. ""look after, care for"" shrine4. ""assign"" persons ""to tasks""5. ""appoint"" officialDt NB(Achaem.) ""egap> ert o.s."" Š caus. 1. ""cause to entrust""2. MB ""give"" tem ""into care""N pass. 1. ""be entrusted""2. ""be cared for""3. j ""be appointed""4. jB om., of event ""be checked, confirmed"""
pasû I,"mng. uncl. jB G (a) of demon ""to press"" on chest ; ""press"" drugs D legap> .; ""crush"" colours"
ama'errû I,"~ ""le mourner"" jB legap> .;"
a-ha-ma 5 GÍN KÙ.BABBAR i-na li-bi4 šu-be-lim i-nu-mì <gap> KÙ.BABBAR a-na šu-be-lim áš-qúl,"<gap> Further, 5 shekels of silver is owed by Šu-Bēlum."
wašāmu I,mng. unkn. OB legap> .
a-na en-na-nim ku-ku-ú-a ma-ma-hi-ir ù ha-dí-tim qí-bi-ma um-ma en-nam-a-šùr-ma a-na ha-dí-tim qí-bi-ma i-na pá-ni-tim-ma iš-tí ma-ma-hi-ir tí-ir-tí i-li-kà-ki-im um-ma a-na-ku-ma ú-ṭá-tám ša a-na a-wi-lá-tim ša KÙ.BABBAR 2 ma-na a-na u4-me ú-šé-ru-ma ku-a-tí ú ša- <gap> KÙ.BABBAR ší-im ú-ṭá-tim <gap> a-ṣé-ri-a ta-ú- <gap> a-na-ku a-na <gap> a-dí ma-lá ú ší-ni-šu KÙ.BABBAR <gap> a-na lá-qé-ep <gap> dí-ni ú <gap> a-ha-ma li-bi-ší a-dí ha-ra-ni i-na a-lá-ki-a li-bi mì-ma lá tù-ša-ni ú ú-ṭá-tám ša tù-um-li-a-im ú ša DUMU uš-ha-ta <gap> ma-lá i ša-nim ni- <gap> li-bi-ší a <gap> a-na ku-ku-a qí-bi-ma um-ma en-um-a-šur-ma ší-im e- <gap> ṭup-pá-kà <gap> u4-me-e áš- <gap> um-ma šu-bé-lúm-ma u4-mu-kà ma-al-ú KÙ.BABBAR ša <gap> ½ ma-na KÙ.BABBAR ší-im TÚG.HI.A iš-tí wa-al-dí-lim ṣa-áb-ta-šu-ma KÙ.BABBAR ša-áš-qí-lá-šu 25 na-ru-uq GIG kà-ar-ší-ni er-ša-ma i be-et en-na-nim li-bi4-ší,"<gap> To Ennānum, Kukuwa, Man-mahir and Hadītum from Ennam-Aššur; specifically to hadītum: Earlier I sent word to you with Man-mahir, saying: The grain that I released on terms to the ladies for 2 minas of silver gap> and which gap> for you and Šagap> , the silver, the price of the grain gap> to me."" gap> I gap> both once and twice gap> the silver gap> give to Lā-qēpum gap> and gap> let it remain apart until the journey. Do not alienate me when I arrive. Also, the grain from the man from Tumliya and from Ušhata's son gap> in the second gap> it should remain gap> to Kukuwa from Ennam-Aššur: The price of gap> your tablet gap> terms gap> Šu-Bēlum said: ""Your term is up. Have him pay the silver."" ½ mina of silver, the proceeds from the sale of my tegap> tiles is in Waldi-ilum's possession, so seize him and make him pay. Demand 25 sacks of wheat from Karšini, and let them be kept in Ennānum's house."""
eršannešakku I,(a lament) jB legap> .;
pirikānu I,(a tegap> tile) OA
lamdu I,"""egap> perienced"" jB; of virgin lā lamittu;"
2 né-pí-šu 15 ma-na.TA ú iš-tí-in né-pí-šu-um 10 ma-na ni-is-ha-sú DIRI ša-du-a-sú ša-bu-ú ŠU.NÍGIN 42.3333 ma-na KÙ.BABBAR ṣa-ru-pá-am ku-nu-ki-a a-na a-lu-wa ù e-ni-ša-ri-im áp-qí-id-ma a-na a-lim{ki} a ma-lá tí-ir-tí-šu a-ṣé-er ša-lim-a-šùr ú-šé-bi-il5-šu-nu a-ha-ma 13.3333 ma-na URUDU SIG5 a-na ga-am-ri-šu-nu ù 5 GÍN KÙ.BABBAR a-na ú-ku-ul-tí-šu-nu a-dí-in IGI ili5-ba-ni DUMU ba-ší-lam IGI a-hu-qar DUMU zu-ur-zu-ur IGI tù-ra-am-ì-lí DUMU e-dí-na-a-šùr a-ha-ma 1⅓ ma-na 3.5 GÍN KÙ.BABBAR ṣa-ru-pá-am <gap> tum ni <gap> ½ GÍN ṣí-ba-tim ša i-na ṣé-ri-a il5-qé-ú-ni a-na hu-bu-li-šu a-na kà-ri-im wa-ah-šu-ša-na áš-qúl ṣí-ba-at KÙ.GI ša ší-ip-kà-at a-šur-bé-el-a-wa-tim i-ší-tù,"<gap> 2 packages of 15 minas each s a e package of 10 minas, its import duty added, its transport tariff paid - in all 42 ⅓ minas of refined silver under my seal, I entrusted to Aluwa and Enišārum, and I sent them to the City to Šalim-Aššur in accordance with his orders. Furthermore, I paid 13 ⅓ minas of good copper for their egap> penses and 5 shekels of silver for their food. Witnessed by Ilī-bāni son of Baši-ilum, by Ahu-qar son of Zurzur, by Tūram-ilī son of Eddin-Aššur. Furthermore, 10 ⅓ minas 3 ½ shekels of refined silver gap> ½ shekel interest that they took on my account, I paid for his debt to the Wahšušana colony. The interest on the gold that remained of Aššur-bēl-awātim's investment."
lakku I,(or laqqu) (a vessel) Qatna of silver
aššalluhlu I,(a functionary) Nuzi;
ziqnānu I,"""bearded"" jB of man; (a type of fish);"
šipkūtu I,mng. unkn. OB ref. to grain;
haburathu I,(a tree) jB legap> .
